				-	-	Diameter (km)	-	-	-										
Name	Crater Type	Latitude	Longitude	central dome	central pit/ring	rim	rim (predicted)	pedestal	ejecta	rings	Terrace Width	Rimwall Width	Rim Height	Depth	Depth Method	Terrain	Image	Resolution	Note

ZN07:165	CP	7	165	?	15	81	N/A			N/A						dc	20606.33	3.0	low resolution
Seqinek	CP	56	26	?	14	78	N/A			N/A						dc	16424.46	1.0	crater floor fractured
ZN07:268	CP	7	268	?	13	78	N/A			N/A						dc	20617.25	1.7	"central pit in shadow, topographically relaxed"
ZN06:168	CP	6	167	N/A	17	74	N/A			N/A						dc	20606.33	3.0	
ZS09:161	CP	-9	161	N/A	15	74	N/A			N/A						dc	20606.33	3.0	
ZN26:256	CP	26	256	?	14	72	N/A			N/A						dc	20616.53	1.7	
Brami	CP	29	19	N/A	10	72	N/A			N/A		6.2-12.4				dc	16424.44	1.0	irregular central pit
Burr	CP	43	135	N/A	12	71	N/A			N/A						pp	16428.09	1.3	"bright rays, image smear"
Nuada	CP	62	273	?	18	67	N/A			N/A						dc	20616.45	1.7	central pit in shadow
ZS09:257	CP	-9	257	?	12	67	N/A			N/A						dc	20617.25	1.7	irregular central pit
Pekko	CP	18	5	?	?	66	N/A			N/A						dc	16424.42	1.0	center obscured
Askr	CP	52	324	?	15	65	N/A			N/A		4.0-11.7		1.10	sh	dc	16425.18	1.0	
ZN53:352	CP	53	352	N/A	12	65	N/A			N/A		7.1				dc	16426.40	1.0	"bright floor, irregular central pit"
ZN26:191	CP	26	191	N/A	14	64	N/A			N/A						dc	20606.25	3.0	
Blakr	CP	29	12	?	12	64	N/A			N/A						dc	16424.44	1.0	"irregular central pit, fractured floor"
ZN27:239	CP	27	239	?	14	62	N/A			N/A						dc	20616.53	1.7	irregular central pit
ZS02:009	CP	-2	9	?	14	62	N/A			N/A						dc	16421.33	1.8	possible central dome
ZS06:271	CP	-6	271	N/A	12	62	N/A			N/A						dc	20617.25	1.7	
ZS41:265	CP	-41	265	N/A	11	62	N/A			N/A						dc	20617.41	1.7	
ZN17:198	CP	17	198	N/A	10	62	N/A			N/A						dc	20614.06	1.8	
ZS15:018	CP	-15	18	N/A	14	61	N/A			N/A						dc	16421.33	1.8	
ZS07:209	CP	-7	209	N/A	12	61	N/A			N/A						dc	20606.37	3.0	
ZN49:353	CP	49	353	N/A	11	61	N/A			N/A						dc	16426.40	1.0	
ZS11:237	CP	-11	237	N/A	9	61	N/A			N/A						dc	20617.21	1.7	
ZN34:265	CP	34	265	N/A	14	60	N/A			N/A		4.4-9.9				dc	20616.57	1.7	
ZN30:257	CP	30	257	N/A	14	60	N/A			N/A		6.2-7.4				dc	20616.57	1.7	
ZS17:275	CP	-17	275	N/A	10	60	N/A			N/A						dc	20617.25	1.7	
Bragi	CP	76	61	N/A	8	60	N/A			N/A						dc	16428.19	1.3	
