name,lat,lon,diam
 ,-5.702,-32.476,178.473
 ,-48.135,27.880,177.720
 ,43.905,-141.078,177.514
Munkacsy,22.041,101.237,176.594
Derain,-8.991,19.714,174.886
 ,5.406,-156.486,174.802
Steichen,-12.991,76.914,174.592
 ,-9.790,26.691,173.685
Shelley,-47.687,-128.227,173.353
 ,-14.091,69.914,173.183
 ,-45.365,168.639,173.010
 ,-47.188,154.575,172.853
 ,-27.991,126.221,172.788
 ,60.887,-41.537,172.270
Larrocha,43.199,-70.086,172.160
Petrarch,-30.488,-26.386,171.503
 ,55.440,-39.597,171.501
 ,-71.663,-121.810,171.206
 ,3.667,-79.086,171.164
Izquierdo,-1.593,107.014,170.681
 ,21.514,-104.676,170.268
Dali,45.098,119.614,170.068
 ,-70.546,-39.201,169.694
 ,-35.487,156.614,169.597
 ,-2.103,28.850,169.409
 ,-60.218,122.455,168.832
 ,1.078,175.441,168.748
 ,2.977,-131.096,168.630
 ,-6.297,1.203,168.308
 ,-7.812,120.476,167.931
 ,-56.924,12.933,167.805
 ,45.755,-42.493,167.742
Holst,-17.347,44.985,167.463
 ,39.716,-97.799,167.329
Faulkner,8.006,76.814,166.771
 ,-47.894,115.104,165.788
Chaikovskij,7.883,-51.032,164.924
 ,-28.900,164.084,164.690
 ,-41.280,154.091,164.450
 ,48.298,-169.686,163.978
 ,-52.371,56.612,163.384
 ,9.076,-132.866,163.361
 ,-25.118,149.976,163.250
 ,15.505,118.314,162.443
 ,57.628,59.080,162.364
Lermontov,15.341,-49.013,161.944
 ,45.199,111.114,161.136
 ,26.247,-106.469,160.688
 ,-21.885,-110.984,160.527
 ,0.507,-144.456,160.278
 ,69.549,-17.180,160.264
Al-Hamadhani,39.074,-91.826,160.198
Aksakov,34.702,-78.686,160.086
 ,33.927,-5.000,159.690
 ,70.543,-109.127,159.500
 ,66.562,60.623,159.157
Bernini,-80.256,-141.000,159.057
Wang Meng,8.647,-104.142,159.027
 ,-30.620,143.598,158.639
 ,-12.202,-85.726,158.479
 ,-48.884,-85.286,158.422
Imhotep,-17.990,-37.586,158.407
Phidias,9.097,-149.584,157.752
Kipling,-19.490,72.014,157.744
 ,-41.366,24.244,157.251
Sotatsu,-48.758,-18.118,157.113
Nabokov,-14.638,55.723,157.076
 ,84.245,-177.400,156.145
 ,66.764,-118.602,156.088
 ,18.795,-53.303,155.909
 ,-28.179,167.854,155.814
 ,-58.519,165.723,155.542
Delacroix,-44.586,-129.586,155.393
Handel,3.407,-34.186,155.295
 ,-36.288,49.314,154.779
 ,-24.141,134.180,154.671
 ,56.879,-70.839,154.457
Alver,-66.876,77.114,154.210
Sophocles,-6.892,-145.886,154.164
 ,-29.615,-98.257,154.053
 ,-40.958,-95.346,153.534
