LONGITUDE_CIRCLE,LATITUDE_CIRCLE,DIAM_CIRCLE
85.70,17.72,5490.74
-66.63,37.89,5494.41
156.63,-1.68,5497.76
-83.98,58.96,5500.20
51.95,-65.89,5500.86
-120.58,32.83,5501.40
-127.06,-4.63,5508.09
114.83,51.25,5508.64
-39.09,57.54,5512.63
139.53,14.28,5514.35
107.11,7.08,5515.17
67.15,-17.73,5515.69
-32.33,11.81,5521.93
90.48,12.18,5524.46
125.15,-5.62,5525.31
-0.05,44.40,5526.24
-79.06,26.84,5527.87
-155.77,-70.10,5528.52
-72.85,30.19,5529.26
167.79,-4.09,5534.73
-119.97,28.24,5539.04
-102.31,-56.07,5539.64
21.09,49.79,5541.94
134.78,-31.52,5542.22
100.36,27.49,5550.68
138.53,67.77,5551.18
159.66,59.21,5552.30
-100.08,6.14,5562.35
-134.14,32.66,5565.64
69.00,-2.86,5566.29
54.95,44.77,5568.75
-32.58,21.17,5571.73
139.75,38.02,5572.32
140.83,63.35,5575.42
-76.93,-11.39,5577.28
77.71,-67.67,5577.69
-147.78,12.87,5577.93
41.85,36.48,5578.49
-4.59,29.31,5579.23
74.86,-87.84,5581.71
179.77,66.62,5583.63
-38.50,52.88,5584.28
-155.61,7.44,5589.77
-150.51,14.35,5590.05
117.15,-4.08,5590.43
-75.77,35.04,5591.17
-60.07,1.87,5593.49
26.23,9.07,5598.37
144.90,59.82,5598.69
152.74,29.24,5600.04
-108.78,-7.19,5600.33
-132.22,21.13,5600.52
111.99,32.53,5602.91
107.59,32.99,5604.06
27.07,1.22,5616.93
118.04,65.22,5624.89
-37.75,17.09,5627.53
87.65,30.38,5628.20
-75.07,-33.31,5631.02
122.80,67.97,5631.39
35.03,-50.27,5632.20
165.28,8.16,5635.82
53.26,-36.94,5636.07
-165.88,21.30,5636.40
-100.01,42.32,5636.55
90.22,35.39,5642.09
-100.01,-17.56,5645.75
-23.00,52.52,5646.85
-97.08,2.55,5647.78
-101.81,35.28,5650.76
-108.09,7.15,5654.53
111.53,-8.62,5654.93
171.40,15.39,5655.26
171.73,36.97,5658.25
3.98,-18.09,5661.99
179.65,47.89,5662.31
-149.66,48.61,5664.48
43.41,-4.75,5666.28
-170.85,-4.83,5667.03
114.76,-61.81,5667.92
20.34,-43.92,5668.23
60.24,17.73,5671.19
130.91,17.47,5671.30
24.79,3.94,5672.48
-88.35,16.83,5672.77
74.66,32.37,5673.13
143.46,-42.84,5673.48
170.20,49.64,5678.69
48.45,38.51,5681.61
174.63,19.20,5682.28
-12.63,34.95,5696.25
39.82,11.00,5697.31
36.84,49.76,5698.42
58.33,-1.12,5700.33
50.98,-2.43,5704.29
86.40,8.31,5706.50
169.74,45.09,5713.51
165.72,64.10,5718.76
-119.07,10.43,5719.12
52.86,17.78,5720.13
161.99,15.34,5722.23
-166.28,37.53,5724.47
-46.91,1.52,5728.25
28.89,7.02,5729.87
-28.30,49.89,5731.67
106.69,44.70,5732.43
-41.58,12.64,5733.06
-165.11,24.31,5734.12
156.60,-41.37,5734.75
135.91,-2.67,5739.38
-119.63,2.10,5742.31
-104.37,37.20,5745.53
126.37,59.65,5746.13
65.04,4.09,5752.26
-93.28,24.18,5756.48
53.03,55.52,5758.21
168.50,0.03,5758.24
-110.78,32.81,5762.19
120.52,14.46,5762.52
-44.57,-41.90,5763.49
78.81,-27.88,5764.41
-121.07,31.79,5766.57
-111.41,-6.70,5768.29
101.92,40.32,5768.58
-102.09,-2.63,5768.67
-49.02,2.86,5769.10
160.89,12.13,5774.57
88.39,-2.72,5775.54
-143.68,20.81,5781.87
85.05,-41.40,5782.86
168.64,-29.81,5784.83
-72.30,32.54,5786.00
-55.47,14.39,5796.76
74.84,-16.99,5798.30
81.48,30.64,5798.54
-144.14,25.64,5798.78
5.00,-2.36,5799.85
-145.04,50.80,5803.50
-169.36,18.46,5803.92
33.32,-17.55,5806.76
-41.20,26.80,5808.67
44.22,-30.14,5808.76
174.33,29.99,5810.10
-109.76,19.82,5818.89
-117.60,3.65,5819.76
117.99,11.06,5825.66
-55.81,21.20,5825.94
-75.43,2.02,5825.96
-147.42,25.93,5826.39
-168.20,23.23,5831.62
-154.06,61.90,5833.38
12.25,7.64,5833.90
-167.98,24.84,5837.44
0.82,41.01,5838.70
-31.08,60.19,5840.21
41.69,55.05,5844.76
59.90,22.62,5844.83
82.45,-19.45,5848.74
75.95,-5.13,5848.85
88.49,41.81,5853.83
111.68,16.20,5854.18
133.95,25.57,5855.09
-44.46,65.21,5863.90
126.46,20.61,5866.47
-90.90,16.08,5867.32
48.59,-4.43,5870.09
59.47,-73.24,5871.09
50.87,10.58,5872.69
-173.99,52.88,5873.47
-71.21,25.55,5874.71
-173.29,77.15,5881.35
35.67,53.39,5885.88
-86.38,1.54,5892.60
147.53,-15.63,5897.14
-111.55,20.11,5901.56
120.84,17.70,5902.34
-146.31,-6.57,5902.47
-174.81,-16.66,5907.55
55.24,50.48,5911.78
-52.98,0.79,5913.73
-166.00,13.46,5914.29
-104.40,-34.96,5919.23
140.56,-13.92,5920.62
100.84,39.38,5922.38
-87.17,10.73,5926.21
-104.56,39.58,5932.81
52.62,-1.64,5936.82
55.26,40.83,5937.46
-30.00,66.05,5938.85
12.74,-12.95,5939.47
157.46,-1.09,5939.51
45.05,32.81,5944.68
65.65,15.26,5947.02
155.49,3.37,5948.96
139.27,8.74,5949.01
43.34,4.02,5949.43
137.62,17.89,5949.67
31.16,73.32,5952.68
128.55,32.90,5953.84
50.86,3.43,5956.17
35.57,64.13,5956.89
-31.54,-8.24,5956.90
108.99,15.86,5964.89
-36.97,54.84,5965.80
103.51,16.94,5966.55
159.85,-16.31,5977.63
170.00,43.84,5985.41
112.75,15.80,5985.72
124.41,7.49,5986.76
126.53,-20.25,5986.99
-173.35,-6.32,5988.54
28.03,59.12,5989.93
109.93,-9.71,5996.56
-47.84,79.11,6002.66
22.65,11.58,6006.82
27.73,6.81,6012.29
-160.39,7.37,6024.13
-176.38,48.51,6024.14
151.73,40.25,6025.63
-81.18,-52.10,6026.25
-8.67,43.99,6027.55
29.03,21.51,6028.22
162.48,66.08,6033.32
94.31,-15.95,6038.48
110.79,-66.69,6041.90
-133.52,-31.49,6042.16
25.80,-3.25,6042.56
161.89,-22.67,6046.04
167.09,-39.02,6049.77
63.63,2.19,6050.28
-150.72,-7.30,6055.15
179.65,-8.30,6057.35
50.91,-5.56,6064.13
120.84,43.99,6066.61
73.05,-6.09,6070.12
148.05,41.64,6071.06
160.84,-31.35,6073.03
76.79,-4.88,6074.62
158.56,-23.50,6077.79
60.07,70.78,6081.02
-82.17,2.81,6081.61
-0.36,51.26,6084.55
141.90,62.11,6087.03
39.21,14.48,6090.25
133.37,-14.44,6091.39
51.92,-42.05,6092.10
85.93,-14.31,6092.72
37.06,-2.25,6095.33
36.85,54.01,6095.34
44.17,45.37,6096.70
-126.97,-6.45,6099.69
47.76,35.27,6101.33
30.82,41.55,6104.44
140.22,22.93,6108.58
178.10,15.79,6108.85
114.58,71.45,6109.97
-26.20,46.12,6111.05
-107.58,16.10,6111.98
-16.46,34.90,6116.04
121.03,55.45,6116.74
12.95,13.85,6119.80
-142.16,-10.85,6122.07
-168.65,-4.66,6122.75
-179.41,26.35,6127.76
137.59,41.89,6129.22
-139.07,-6.41,6133.42
-158.67,-0.58,6133.88
-45.95,55.26,6133.88
-131.51,28.01,6135.64
-25.46,-61.81,6139.29
168.69,11.83,6143.13
-150.84,23.89,6143.61
-59.19,17.76,6152.99
88.52,58.73,6158.74
48.94,27.13,6166.64
-149.68,-12.20,6169.46
-89.34,13.99,6170.37
-66.81,11.52,6173.64
-104.13,31.87,6175.21
-109.51,-2.59,6175.24
139.91,7.50,6181.25
86.07,27.73,6183.63
12.40,57.61,6186.94
73.69,26.32,6190.33
-153.28,26.33,6191.74
17.66,4.95,6192.16
79.53,-17.89,6192.94
-114.12,-62.28,6197.02
154.05,35.35,6204.89
-64.31,35.49,6205.77
-93.89,17.22,6209.66
-96.10,6.78,6211.09
8.58,-42.74,6214.30
-34.23,4.78,6215.20
-64.68,27.19,6219.44
171.10,42.77,6220.83
52.92,9.06,6221.94
-167.09,45.02,6224.26
172.20,31.06,6225.66
138.52,-35.49,6233.14
98.22,28.53,6233.19
83.75,-4.64,6234.75
133.41,32.29,6236.71
-3.55,63.04,6239.17
161.24,52.29,6242.27
-79.85,-2.03,6245.53
126.24,52.17,6246.15
-106.68,35.51,6249.30
-157.92,6.99,6250.67
-66.49,-61.16,6252.47
-122.41,-19.17,6253.44
-177.54,7.59,6256.13
19.22,30.61,6256.93
-95.07,14.44,6257.51
157.69,51.80,6258.31
41.54,19.21,6262.24
131.26,36.27,6262.68
-76.73,28.07,6263.96
172.99,51.35,6264.62
-1.22,52.54,6264.81
-67.65,9.70,6271.10
-99.47,-14.62,6271.77
16.11,22.16,6278.66
39.58,-53.57,6281.85
-64.43,-13.32,6284.06
85.93,34.71,6289.31
90.76,67.81,6290.60
-69.75,17.11,6295.47
-146.59,-4.63,6306.19
-33.88,6.68,6306.75
-58.37,13.55,6307.20
106.95,71.50,6309.22
-176.32,64.46,6311.86
-38.34,56.32,6313.95
132.19,50.31,6316.37
-144.80,27.37,6319.24
-106.34,-28.64,6321.65
13.00,41.42,6326.00
7.66,16.77,6327.29
-86.38,20.41,6328.84
-160.76,10.10,6340.01
115.57,-52.82,6343.59
-30.87,46.92,6345.15
-8.98,34.40,6346.45
100.89,6.93,6350.04
-160.66,60.30,6352.99
-117.49,12.06,6353.35
-26.34,58.37,6357.23
-76.27,-3.31,6357.33
-84.78,-5.89,6357.54
-58.04,24.72,6359.69
-145.30,-17.48,6359.70
-28.49,41.40,6360.92
-87.86,4.20,6362.14
-169.55,82.37,6363.64
176.79,47.83,6365.11
79.37,37.81,6366.06
-138.11,30.41,6370.62
-134.73,9.44,6371.42
-113.72,2.46,6371.99
57.06,7.34,6375.97
-34.20,19.56,6382.13
-10.08,63.89,6383.55
-144.68,30.90,6383.89
65.60,62.39,6388.51
121.74,6.23,6391.80
-14.34,52.87,6392.09
17.67,-1.45,6392.11
5.84,-31.05,6397.42
91.57,38.74,6398.32
157.14,42.80,6399.26
113.58,68.48,6400.78
171.51,7.10,6404.46
-22.28,34.58,6405.76
-143.41,-47.02,6406.65
1.34,32.54,6408.11
29.40,42.88,6416.53
130.23,22.74,6422.40
-154.29,14.10,6423.05
-103.07,52.38,6424.33
-78.56,41.70,6433.11
-139.50,54.63,6434.57
67.59,64.10,6443.95
-169.66,-15.81,6444.97
141.68,-14.32,6445.75
112.12,59.88,6447.29
83.34,37.19,6448.20
1.29,-30.26,6449.72
44.67,-37.44,6454.28
-106.54,-16.74,6454.30
139.30,10.17,6461.00
-164.20,22.08,6462.64
-151.64,-13.51,6462.95
-57.57,-10.94,6464.67
31.08,-5.08,6465.47
177.26,61.63,6472.59
-173.65,-15.13,6479.21
-152.84,14.30,6479.36
-33.64,60.80,6479.92
170.33,-57.07,6480.54
82.38,34.93,6484.71
-4.80,54.88,6490.71
-163.88,4.22,6495.87
-40.12,14.41,6496.75
-36.50,18.72,6499.52
-162.28,26.85,6504.88
-30.36,40.16,6508.28
10.58,56.52,6514.57
128.81,29.23,6518.32
1.88,26.57,6520.85
137.80,-35.02,6522.18
34.58,26.98,6526.98
21.56,28.42,6529.81
-48.37,-45.73,6534.30
102.06,49.82,6535.72
101.78,-21.50,6539.44
-94.25,47.57,6543.76
90.70,-44.84,6545.37
-144.18,47.02,6545.54
-162.22,8.26,6546.49
143.36,30.13,6549.40
3.77,-12.36,6556.75
30.83,52.56,6560.30
58.85,-3.43,6563.90
49.44,-6.67,6564.12
-39.05,-50.30,6564.19
123.69,-7.89,6570.28
12.05,17.02,6574.84
-99.36,7.12,6578.28
1.76,25.44,6582.37
26.91,38.37,6584.22
68.36,2.60,6584.78
137.27,39.45,6588.31
-19.27,-55.60,6589.19
-92.10,14.01,6589.42
111.71,13.65,6592.29
144.77,22.58,6594.91
-164.81,-25.35,6597.66
-16.35,34.29,6599.40
114.12,32.38,6600.13
-28.84,37.22,6601.24
-64.57,55.95,6601.57
-49.37,57.91,6603.16
120.73,34.72,6606.67
89.98,73.53,6615.40
-60.13,30.37,6619.52
-74.15,12.46,6627.52
106.45,38.29,6631.24
44.64,24.44,6634.31
89.42,20.70,6635.50
35.56,-26.84,6636.09
83.68,25.45,6638.54
-47.64,23.52,6640.36
-113.64,-15.55,6640.41
5.53,-26.93,6650.20
-179.92,14.43,6662.36
92.12,-2.64,6672.54
14.97,24.65,6672.65
148.42,11.65,6673.09
20.36,20.71,6673.20
-116.89,-12.55,6673.21
102.42,32.79,6674.64
61.99,75.59,6681.91
-96.35,23.48,6687.23
35.20,-46.41,6688.65
110.25,55.33,6692.18
-124.09,25.51,6694.81
-148.42,11.04,6700.14
20.96,9.76,6701.94
-65.53,23.30,6702.46
-84.52,7.62,6707.51
-15.96,-29.64,6708.87
2.77,59.88,6711.14
-1.24,-4.14,6711.33
-109.84,52.16,6711.77
106.07,20.46,6713.50
-179.64,19.55,6716.18
13.71,-1.25,6718.56
41.20,29.09,6719.89
-25.55,42.04,6724.37
129.82,-9.95,6728.15
79.22,27.93,6732.43
173.08,55.78,6734.88
141.77,26.03,6736.37
179.04,-59.43,6736.58
-22.54,32.67,6739.21
-61.58,-13.92,6757.27
-84.83,36.19,6764.38
119.44,24.67,6765.25
-68.05,-24.03,6767.04
-99.65,22.92,6773.86
134.67,56.66,6777.55
128.72,54.59,6779.75
-105.63,9.40,6780.90
-144.73,-68.17,6782.34
48.78,13.21,6784.50
151.09,-16.24,6790.87
-32.53,24.93,6809.34
110.99,46.60,6810.96
84.84,-5.71,6822.65
113.89,45.17,6827.07
38.55,26.93,6827.89
-179.34,34.13,6829.64
-45.70,-48.37,6831.67
