lat,lon,diameter
46.4,144.1,24.3
36.1,32.0,24.3
28.3,72.7,24.3
51.8,254.6,24.0
-23.3,258.9,24.0
-30.2,53.2,23.8
13.2,217.7,23.7
1.1,284.3,23.7
57.8,333.0,23.6
8.9,25.5,23.6
28.3,4.9,23.5
-62.5,197.0,23.5
-63.3,67.0,23.5
86.8,337.7,23.4
19.3,283.1,23.4
47.7,14.9,23.2
15.3,4.0,23.1
-11.7,174.7,23.1
57.0,6.4,23.0
26.4,13.0,22.9
-5.7,76.7,22.9
-58.8,252.1,22.9
37.4,324.2,22.8
-44.1,39.1,22.8
18.4,318.9,22.7
8.0,244.5,22.7
3.3,233.9,22.6
-13.1,12.9,22.6
-47.8,277.7,22.6
48.4,296.6,22.5
37.7,305.6,22.4
23.7,94.6,22.4
22.1,4.7,22.4
-1.4,110.9,22.4
45.3,283.1,22.3
4.7,193.4,22.2
-32.9,51.6,22.2
44.0,11.5,22.1
-14.8,29.6,22.1
-44.8,337.8,22.0
34.5,76.2,21.9
-5.7,349.6,21.9
-12.4,287.6,21.8
20.4,355.0,21.6
68.2,55.6,21.5
5.9,125.1,21.4
-59.7,213.2,21.2
28.1,290.0,21.1
13.4,199.6,21.1
3.0,168.6,21.1
-19.8,145.5,21.1
-62.3,227.6,21.1
32.9,336.2,21.0
-60.2,145.7,21.0
43.9,0.0,20.8
6.4,103.8,20.8
-6.5,275.6,20.7
-34.2,238.7,20.7
76.2,17.2,20.6
-30.3,248.2,20.6
42.4,148.2,20.5
36.6,273.9,20.5
4.2,299.5,20.5
81.3,200.4,20.4
69.1,236.2,20.4
-41.5,256.9,20.4
62.5,240.2,20.2
44.2,162.3,20.2
75.5,272.0,20.1
82.5,273.4,20.0
75.9,55.3,20.0
62.1,322.0,20.0
56.4,234.9,20.0
-39.4,221.4,20.0
14.5,166.6,19.9
71.2,323.1,19.8
-5.1,31.4,19.8
-18.0,353.7,19.8
76.8,192.9,19.6
68.5,94.2,19.6
10.4,171.4,19.6
-32.8,163.2,19.6
40.1,331.5,19.5
18.2,149.5,19.5
9.3,26.9,19.5
-42.4,1.8,19.5
-62.8,90.0,19.4
-74.2,244.8,19.4
9.6,189.3,19.3
5.3,67.3,19.3
-44.2,86.8,19.3
-72.9,142.1,19.2
45.2,260.6,19.1
17.9,102.6,19.1
9.3,54.2,19.1
21.5,165.0,19.0
1.2,343.7,19.0
-6.7,132.7,19.0
14.0,72.5,18.8
7.8,359.1,18.8
-41.7,12.4,18.8
0.5,143.2,18.7
-1.6,296.8,18.7
-13.4,271.2,18.7
-33.3,208.1,18.7
-45.7,211.6,18.7
3.9,166.5,18.6
22.9,40.6,18.5
3.0,213.6,18.5
-5.1,346.9,18.5
-52.2,111.2,18.5
48.9,141.2,18.4
30.0,120.7,18.4
-18.2,196.6,18.4
-73.0,145.0,18.4
-35.7,92.5,18.3
-61.0,212.3,18.3
33.6,22.7,18.2
17.9,266.5,18.2
-57.9,250.2,18.2
-3.5,265.0,18.2
-52.9,185.9,18.1
85.4,212.4,18.0
7.1,95.8,18.0
-13.8,268.9,18.0
43.3,19.9,17.9
12.4,31.9,17.9
-38.1,124.6,17.9
1.1,93.7,17.8
-7.3,98.6,17.8
39.5,297.8,17.7
-12.9,299.9,17.6
-17.8,240.4,17.6
-28.7,18.8,17.6
-62.9,37.1,17.6
1.5,314.4,17.5
-29.3,310.5,17.5
-47.3,253.4,17.5
-23.3,266.6,17.3
34.5,288.7,17.2
0.7,273.1,17.2
30.6,187.3,17.1
6.0,70.3,17.1
4.9,169.7,17.1
-18.4,73.4,17.1
-28.0,57.7,17.1
47.6,307.1,17.0
38.3,171.8,17.0
33.0,249.9,17.0
11.4,115.6,17.0
-43.1,239.4,17.0
-34.4,275.9,16.9
16.1,127.2,16.8
-3.8,106.7,16.8
21.8,220.8,16.7
-2.4,228.8,16.7
-32.4,58.9,16.7
-4.8,293.2,16.6
-22.0,342.7,16.6
-6.8,43.7,16.5
6.9,306.3,16.4
-11.5,342.4,16.4
-29.1,104.5,16.3
-32.6,249.6,16.2
64.1,289.8,16.1
2.9,100.0,16.0
-5.8,239.8,16.0
-70.0,123.8,16.0
69.6,222.0,15.9
23.6,350.1,15.9
19.5,247.3,15.9
-2.0,182.2,15.9
-16.7,347.5,15.8
35.8,252.7,15.7
19.4,21.8,15.7
4.8,39.0,15.7
72.5,337.5,15.6
63.5,314.4,15.6
-61.8,130.6,15.6
41.3,280.4,15.5
36.5,48.2,15.5
2.7,211.8,15.5
2.3,90.0,15.5
-62.1,67.9,15.4
23.8,348.1,15.3
-5.0,354.1,15.3
-52.5,104.4,15.3
39.5,23.0,15.2
26.1,283.8,15.2
-56.0,298.4,15.2
-22.8,232.7,15.1
62.9,2.6,15.0
26.3,120.0,15.0
10.7,340.7,15.0
-28.9,277.3,15.0
46.6,123.3,14.9
-29.2,175.5,14.9
-40.7,151.9,14.9
38.7,292.2,14.8
9.6,214.6,14.8
-29.1,94.5,14.8
-42.5,10.0,14.8
-17.8,31.9,14.7
-19.6,40.5,14.7
-35.2,248.2,14.7
-30.1,345.5,14.6
68.2,303.8,14.6
-4.0,165.6,14.6
-22.8,281.3,14.6
-60.4,220.4,14.6
45.8,253.0,14.5
78.1,76.5,14.5
5.3,178.2,14.5
4.0,300.5,14.5
-21.7,232.4,14.5
45.5,281.7,14.4
-65.3,12.0,14.4
-15.2,50.1,14.3
-19.8,226.5,14.3
-34.2,187.8,14.3
