Diameter (km),Latitude,Longitude
75.26,0.19,115.39
75.00,-28.91,84.15
75.00,-15.39,119.18
74.74,-60.62,232.92
74.63,-49.92,219.58
74.33,-65.76,257.27
73.84,-53.95,210.36
73.60,-69.64,154.18
73.51,41.51,8.75
72.98,-26.55,331.89
72.02,33.56,12.75
71.90,-66.88,181.51
71.69,-58.01,86.38
71.35,27.84,160.51
71.21,-31.31,108.70
71.02,-20.67,324.30
70.83,-33.82,311.41
70.71,-63.85,264.71
69.70,8.42,247.25
69.46,-32.36,345.11
69.00,27.86,11.48
69.00,-20.98,209.34
68.99,6.58,14.31
68.51,-64.30,355.93
68.45,7.97,330.98
68.12,-38.59,112.89
67.26,25.86,328.44
67.00,-43.77,31.06
66.57,-30.20,202.31
66.48,-27.23,323.10
66.31,-55.10,60.21
66.29,56.82,350.36
66.26,-56.13,143.85
65.94,3.08,57.75
65.80,-27.09,341.69
65.71,-4.52,317.86
65.68,-5.56,322.48
65.47,-59.72,53.90
65.26,2.26,308.39
64.90,-32.06,140.75
64.30,7.97,352.95
63.96,-53.45,327.40
63.74,42.04,62.68
63.54,-39.50,99.41
63.20,2.58,85.80
63.07,23.23,326.32
62.88,-2.80,323.91
62.86,-1.42,320.32
62.80,40.75,31.73
62.74,55.63,171.29
62.21,-77.91,234.22
62.19,-23.98,326.70
62.00,-24.72,28.30
61.13,-30.36,323.59
61.11,-21.34,290.75
61.00,-43.22,188.61
61.00,15.34,337.86
60.31,-60.33,92.80
60.28,20.74,75.74
60.00,-4.38,80.42
59.84,3.56,161.92
59.66,-0.02,28.73
59.08,12.56,305.13
59.00,-39.87,39.78
59.00,-6.39,320.04
58.81,-20.50,99.99
58.49,-19.83,331.67
58.31,-23.73,140.86
57.97,7.48,327.01
57.50,3.78,1.62
57.40,8.23,119.01
57.00,-23.72,314.50
55.94,12.22,306.37
55.70,39.71,356.90
55.51,5.90,355.55
54.82,-2.69,110.90
54.00,-48.89,33.82
53.59,-15.84,296.32
52.64,-34.94,311.93
52.44,-24.44,342.42
52.30,-27.53,290.33
52.17,40.48,273.86
52.00,8.93,141.27
52.00,20.19,69.43
51.91,34.24,269.17
51.85,50.56,16.34
51.84,-36.41,283.38
51.62,24.58,304.25
51.59,14.84,308.28
51.33,-30.03,258.54
51.24,-79.01,127.81
51.10,77.17,214.24
51.09,-24.95,112.88
50.97,-31.84,290.44
50.79,-34.52,313.93
50.75,-42.27,305.34
50.74,-23.68,332.65
50.67,-30.73,257.12
50.50,10.24,0.99
50.42,15.25,305.73
50.27,-64.85,345.42
50.10,-0.22,79.67
50.00,3.90,359.04
