Diameter (km),Latitude,Longitude
296.00,45.68,133.79
286.00,12.79,314.76
149.00,6.86,109.42
123.00,7.86,92.05
96.00,12.04,138.86
93.00,-5.74,155.23
72.00,45.36,233.39
66.00,49.48,217.87
58.00,27.85,94.56
49.00,39.79,201.82
45.00,15.24,150.54
44.42,28.39,212.92
38.00,42.88,191.43
37.70,77.80,135.99
25.00,23.82,141.58
20.00,50.87,179.24
19.00,49.17,138.38
11.07,46.85,140.97
